"type","ID","Period","site"
"257","BearMR","w",3,"C1"
"258","BearMR","w",3,"D2"
"259","BearMR","w",3,"E1"
"260","BearMR","x",3,"E3"
"261","BearMR","x",3,"F3"
"262","BearMR","x",3,"F4"
"263","BearMR","y",3,"F5"
"264","BearMR","z",3,"E4"
"265","BearMR","z",3,"F3"
"266","BearMR","z",3,"F6"
"267","BearMR","A",3,"D1"
"268","BearMR","A",3,"D3"
"269","BearMR","B",3,"C1"
"270","BearMR","B",3,"D1"
"271","BearMR","C",3,"B3"
"272","BearMR","C",3,"B6"
"273","BearMR","C",3,"C2"
"274","BearMR","C",3,"C4"
"275","BearMR","D",3,"A6"
"276","BearMR","D",3,"B5"
"277","BearMR","D",3,"B6"
"278","BearMR","D",3,"C6"
"279","BearMR","a",4,"A5"
"280","BearMR","a",4,"A6"
"281","BearMR","a",4,"B6"
"282","BearMR","a",4,"C6"
"283","BearMR","b",4,"B5"
"284","BearMR","b",4,"C6"
"285","BearMR","b",4,"D6"
"286","BearMR","c",4,"A6"
"287","BearMR","c",4,"B6"
"288","BearMR","d",4,"C5"
"289","BearMR","d",4,"E5"
"290","BearMR","d",4,"F4"
"291","BearMR","e",4,"F4"
"292","BearMR","e",4,"F5"
"293","BearMR","f",4,"D3"
"294","BearMR","f",4,"E2"
"295","BearMR","f",4,"F2"
"296","BearMR","g",4,"C3"
"297","BearMR","g",4,"C4"
"298","BearMR","g",4,"C5"
"299","BearMR","g",4,"C6"
"300","BearMR","g",4,"E4"
"301","BearMR","i",4,"C3"
"302","BearMR","i",4,"D2"
"303","BearMR","i",4,"D4"
"304","BearMR","j",4,"A3"
"305","BearMR","j",4,"A4"
"306","BearMR","j",4,"B3"
"307","BearMR","j",4,"C4"
"308","BearMR","l",4,"F2"
"309","BearMR","m",4,"B5"
"310","BearMR","m",4,"C5"
"311","BearMR","m",4,"C6"
"312","BearMR","n",4,"C6"
"313","BearMR","n",4,"D5"
"314","BearMR","o",4,"D2"
"315","BearMR","o",4,"D3"
"316","BearMR","o",4,"E2"
"317","BearMR","o",4,"E3"
"318","BearMR","p",4,"C3"
"319","BearMR","p",4,"D3"
"320","BearMR","p",4,"E2"
"321","BearMR","p",4,"F3"
"322","BearMR","q",4,"A5"
"323","BearMR","q",4,"B4"
"324","BearMR","q",4,"C3"
"325","BearMR","r",4,"E2"
"326","BearMR","r",4,"F4"
"327","BearMR","s",4,"C1"
"328","BearMR","s",4,"D1"
"329","BearMR","s",4,"E1"
"330","BearMR","t",4,"A5"
"331","BearMR","t",4,"B6"
"332","BearMR","t",4,"D6"
"333","BearMR","u",4,"B2"
"334","BearMR","u",4,"C2"
"335","BearMR","u",4,"C3"
"336","BearMR","u",4,"C6"
"337","BearMR","u",4,"E3"
"338","BearMR","v",4,"E2"
"339","BearMR","v",4,"E3"
"340","BearMR","w",4,"D4"
"341","BearMR","w",4,"E1"
"342","BearMR","w",4,"E2"
"343","BearMR","x",4,"F3"
"344","BearMR","y",4,"E5"
"345","BearMR","y",4,"F3"
"346","BearMR","z",4,"E4"
"347","BearMR","z",4,"F4"
"348","BearMR","z",4,"F5"
