"type","ID","Period","site"
"306","BearMR","j",4,"B5"
"307","BearMR","j",4,"B6"
"308","BearMR","j",4,"C5"
"309","BearMR","k",4,"C1"
"310","BearMR","k",4,"D1"
"311","BearMR","k",4,"E1"
"312","BearMR","l",4,"D6"
"313","BearMR","m",4,"F6"
"314","BearMR","n",4,"B1"
"315","BearMR","n",4,"B2"
"316","BearMR","n",4,"C1"
"317","BearMR","o",4,"A6"
"318","BearMR","o",4,"B5"
"319","BearMR","o",4,"B6"
"320","BearMR","p",4,"D5"
"321","BearMR","p",4,"F4"
"322","BearMR","q",4,"A5"
"323","BearMR","q",4,"A6"
"324","BearMR","q",4,"B3"
"325","BearMR","r",4,"A4"
"326","BearMR","r",4,"A5"
"327","BearMR","r",4,"A6"
"328","BearMR","r",4,"B4"
"329","BearMR","s",4,"E1"
"330","BearMR","s",4,"E2"
"331","BearMR","s",4,"F1"
"332","BearMR","t",4,"B2"
"333","BearMR","t",4,"B3"
"334","BearMR","t",4,"D4"
"335","BearMR","u",4,"E6"
"336","BearMR","u",4,"F5"
"337","BearMR","v",4,"C1"
"338","BearMR","w",4,"C1"
"339","BearMR","w",4,"C2"
"340","BearMR","x",4,"D5"
"341","BearMR","x",4,"E4"
"342","BearMR","x",4,"F4"
"343","BearMR","y",4,"A1"
"344","BearMR","y",4,"B2"
"345","BearMR","z",4,"A6"
"346","BearMR","z",4,"C4"
"347","BearMR","z",4,"C6"
"348","BearMR","A",4,"B5"
"349","BearMR","A",4,"B6"
"350","BearMR","A",4,"C6"
"351","BearMR","B",4,"A3"
"352","BearMR","B",4,"A4"
"353","BearMR","B",4,"B2"
"354","BearMR","B",4,"B3"
"355","BearMR","B",4,"B4"
"356","BearMR","C",4,"F1"
"357","BearMR","D",4,"B2"
"358","BearMR","D",4,"C4"
"359","BearMR","D",4,"D2"
"360","BearMR","a",5,"B3"
"361","BearMR","a",5,"C2"
"362","BearMR","a",5,"D3"
"363","BearMR","a",5,"E3"
"364","BearMR","b",5,"A6"
"365","BearMR","b",5,"D4"
"366","BearMR","c",5,"B2"
"367","BearMR","c",5,"D4"
"368","BearMR","d",5,"E5"
"369","BearMR","d",5,"F6"
"370","BearMR","e",5,"E2"
