"","FullN.notRedun","SubProp.notRedun","SubN.notRedun","Denhat","Denhat.SE","g0","g0.bTRUE","sigma","trial","model","size","fullN","whichSource","sim"
"689",507,0.567058823529412,482,387.851870632926,62.7406410878753,-2.41843547337963,2.93537059137002,1.54832330530161,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10052.rds"
"690",507,0.564705882352941,480,399.358345315403,63.8798181040271,-2.42838356705118,2.91974034042532,1.54491662955518,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10053.rds"
"691",507,0.565882352941177,481,391.674895019015,63.34207159248,-2.37012216752765,2.89648746801422,1.52991914108918,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10054.rds"
"692",507,0.562352941176471,478,406.66555984173,64.3513851707449,-2.42770245978832,2.93531968374107,1.55024250422273,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10055.rds"
"693",507,0.570588235294118,485,402.711383058285,64.4749904949014,-2.39572784248617,2.88189912299105,1.53075027890608,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10056.rds"
"694",507,0.56,476,403.580831556821,63.8642118708493,-2.4272550784385,2.87376723503541,1.55791312459114,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10057.rds"
"695",507,0.561176470588235,477,415.158091484905,65.7780205105818,-2.41950799279909,2.89595500405522,1.52812059342742,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10058.rds"
"696",507,0.56,476,396.419485460924,63.4656554320721,-2.46798917629427,3.01275947733726,1.55951470984062,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10059.rds"
"697",507,0.567058823529412,482,408.317174899508,64.6553974972478,-2.43731965515024,2.93296112503535,1.54787106284808,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10060.rds"
"698",507,0.555294117647059,472,413.550714993156,65.5599687035477,-2.47390762083523,3.00051078242468,1.54172602512704,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10061.rds"
"699",507,0.572941176470588,487,412.856577755898,65.3677707227001,-2.4374566451501,3.03829730879757,1.54105247269015,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10062.rds"
"700",507,0.558823529411765,475,406.921383253415,64.4678114801036,-2.43126089137051,2.90026514649602,1.55024288522065,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10063.rds"
"701",507,0.562352941176471,478,405.027769382569,64.9048012409292,-2.4140512588871,2.9260125681998,1.52830972516829,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10064.rds"
"702",507,0.56,476,426.211054393362,67.5865429123092,-2.40566159672982,2.92971383972636,1.49895288688115,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10065.rds"
"703",507,0.568235294117647,483,399.186778013091,63.8515359420739,-2.42285992295106,2.92226016012206,1.54436204717459,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10066.rds"
"704",507,0.563529411764706,479,398.159063568166,63.7876663159248,-2.45202283982423,2.95318772729484,1.55219143925227,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10067.rds"
"705",507,0.561176470588235,477,398.591311983483,63.8070282439899,-2.39263171877044,2.98438590981141,1.54049402683792,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10068.rds"
"706",507,0.561176470588235,477,402.719823621366,63.7200729642046,-2.43375927897796,2.89214305134588,1.5612687685379,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10069.rds"
"707",507,0.564705882352941,480,395.875781887084,63.3064846151723,-2.43902664229711,3.00044637667613,1.55568383855566,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10070.rds"
"708",507,0.555294117647059,472,415.775723920023,65.8476863504843,-2.42927756958078,2.85043156156935,1.52839437996408,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10071.rds"
"709",507,0.561176470588235,477,390.67755830851,63.2772653779626,-2.41796300929015,2.95092100918046,1.54092706422085,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10072.rds"
"710",507,0.564705882352941,480,402.10231869937,63.5251530203365,-2.44691135354954,2.91351359449688,1.56521353711195,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10073.rds"
"711",507,0.555294117647059,472,418.842369192008,66.4161792793056,-2.45008489978762,2.95178421927107,1.52681859666139,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10074.rds"
"712",507,0.555294117647059,472,402.238860701261,64.3750460752863,-2.42085626950881,2.90594086763156,1.53637849092806,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10075.rds"
"713",507,0.565882352941177,481,409.791595085055,64.8892423704423,-2.42554707112225,2.91463734267739,1.5421412850287,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10076.rds"
"714",507,0.567058823529412,482,408.789861571153,64.711391807343,-2.42782941174849,2.88329492934983,1.54500701809975,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10077.rds"
"715",507,0.565882352941177,481,413.114674438017,65.3985597089178,-2.44026366434272,2.94578877220412,1.53671340241238,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10078.rds"
"716",507,0.562352941176471,478,399.466957817652,63.9395085881117,-2.45702103724249,3.06195216413503,1.5497865023009,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10079.rds"
